Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,15-12-2023,CUST0001,Male,25,Groceries,1,100,100
2,03-08-2023,CUST0001,Male,28,Groceries,4,150,600
3,30-05-2023,CUST0001,Male,19,Home Decor,2,500,1000
4,11-07-2023,CUST0001,Female,38,Electronics,4,100,400
5,22-01-2023,CUST0001,Male,42,Electronics,3,150,450
6,19-06-2023,CUST0001,Female,45,Home Decor,4,500,2000
7,24-06-2023,CUST0002,Female,20,Groceries,3,250,750
8,25-11-2023,CUST0002,Male,35,Home Decor,1,200,200
9,14-01-2023,CUST0002,Female,26,Clothing,1,100,100
10,06-12-2023,CUST0002,Female,24,Home Decor,1,150,150
11,25-07-2023,CUST0002,Male,53,Clothing,4,200,800
12,02-01-2023,CUST0002,Female,23,Clothing,4,500,2000
13,10-07-2023,CUST0002,Female,43,Home Decor,2,100,200
14,27-09-2023,CUST0002,Male,32,Home Decor,1,500,500
15,27-07-2023,CUST0003,Male,35,Groceries,4,100,400
16,05-08-2023,CUST0003,Female,58,Groceries,3,250,750
17,06-03-2023,CUST0003,Male,24,Electronics,4,50,200
18,16-05-2023,CUST0003,Female,28,Beauty,1,150,150
19,16-10-2023,CUST0003,Male,22,Clothing,3,100,300
20,10-02-2023,CUST0003,Female,24,Electronics,4,200,800
21,02-02-2023,CUST0003,Female,40,Groceries,3,200,600
22,04-02-2023,CUST0004,Male,52,Groceries,3,500,1500
23,11-05-2023,CUST0004,Male,22,Clothing,3,500,1500
24,25-12-2023,CUST0004,Male,26,Clothing,2,200,400
25,28-06-2023,CUST0004,Male,49,Electronics,4,250,1000
26,06-04-2023,CUST0004,Female,47,Groceries,3,250,750
27,23-05-2023,CUST0004,Male,46,Home Decor,1,150,150
28,31-08-2023,CUST0004,Female,45,Clothing,2,250,500
29,03-03-2023,CUST0004,Male,23,Home Decor,4,200,800
30,06-12-2023,CUST0005,Female,28,Clothing,3,200,600
31,19-08-2023,CUST0005,Female,50,Electronics,1,150,150
32,01-05-2023,CUST0005,Female,30,Electronics,3,500,1500
33,17-05-2023,CUST0005,Female,54,Electronics,3,100,300
34,21-06-2023,CUST0005,Female,32,Beauty,2,50,100
35,29-06-2023,CUST0005,Male,29,Clothing,3,50,150
36,23-04-2023,CUST0006,Female,34,Beauty,1,100,100
37,10-05-2023,CUST0006,Female,40,Groceries,4,50,200
38,06-05-2023,CUST0006,Female,43,Home Decor,3,150,450
39,03-07-2023,CUST0006,Male,34,Groceries,4,100,400
40,17-07-2023,CUST0006,Female,28,Electronics,1,200,200
41,06-07-2023,CUST0006,Female,33,Groceries,3,200,600
42,09-09-2023,CUST0006,Male,53,Beauty,2,150,300
43,28-05-2023,CUST0007,Female,24,Home Decor,1,50,50
44,08-05-2023,CUST0007,Male,35,Electronics,3,200,600
45,31-05-2023,CUST0007,Male,47,Clothing,3,200,600
46,24-05-2023,CUST0007,Female,19,Electronics,4,500,2000
47,20-05-2023,CUST0007,Male,54,Beauty,3,50,150
48,09-04-2023,CUST0008,Male,33,Beauty,4,500,2000
49,30-04-2023,CUST0008,Male,41,Home Decor,3,50,150
50,14-04-2023,CUST0008,Female,52,Electronics,3,50,150
51,04-12-2023,CUST0009,Female,52,Groceries,1,200,200
52,10-06-2023,CUST0009,Female,50,Groceries,4,200,800
53,15-05-2023,CUST0009,Male,34,Electronics,4,200,800
54,22-01-2023,CUST0009,Female,47,Groceries,3,500,1500
55,21-09-2023,CUST0009,Male,44,Clothing,1,500,500
56,07-04-2023,CUST0009,Female,50,Groceries,4,250,1000
57,31-10-2023,CUST0009,Male,21,Beauty,4,50,200
58,21-06-2023,CUST0010,Female,47,Groceries,2,250,500
59,06-01-2023,CUST0010,Male,58,Groceries,4,250,1000
60,29-10-2023,CUST0010,Male,48,Beauty,4,50,200
61,10-07-2023,CUST0011,Male,38,Electronics,4,150,600
62,08-05-2023,CUST0011,Female,42,Clothing,3,500,1500
63,27-02-2023,CUST0011,Male,57,Clothing,4,500,2000
64,31-05-2023,CUST0011,Female,44,Clothing,2,100,200
65,30-09-2023,CUST0011,Female,50,Electronics,3,500,1500
66,25-06-2023,CUST0011,Male,46,Clothing,3,100,300
67,02-11-2023,CUST0012,Male,41,Groceries,4,100,400
68,09-11-2023,CUST0012,Female,37,Electronics,4,500,2000
69,22-05-2023,CUST0012,Female,40,Home Decor,2,100,200
70,15-10-2023,CUST0012,Male,39,Beauty,1,100,100
71,04-03-2023,CUST0012,Female,39,Clothing,2,500,1000
72,29-06-2023,CUST0013,Female,23,Beauty,4,250,1000
73,21-09-2023,CUST0013,Male,22,Home Decor,2,250,500
74,16-12-2023,CUST0013,Male,52,Home Decor,4,250,1000
75,04-05-2023,CUST0014,Female,47,Beauty,1,150,150
76,02-04-2023,CUST0014,Female,43,Groceries,2,250,500
77,14-11-2023,CUST0014,Male,26,Home Decor,1,50,50
78,27-02-2023,CUST0014,Female,18,Clothing,4,500,2000
79,17-02-2023,CUST0015,Male,57,Groceries,1,50,50
80,29-09-2023,CUST0015,Male,56,Groceries,2,250,500
81,04-09-2023,CUST0015,Male,29,Clothing,4,150,600
82,27-03-2023,CUST0015,Male,46,Home Decor,1,50,50
83,04-04-2023,CUST0015,Female,22,Home Decor,4,100,400
84,07-12-2023,CUST0015,Male,53,Electronics,2,500,1000
85,23-12-2023,CUST0015,Male,27,Groceries,4,100,400
86,29-06-2023,CUST0015,Male,27,Clothing,3,100,300
87,21-11-2023,CUST0016,Male,21,Clothing,1,200,200
88,09-06-2023,CUST0016,Male,37,Home Decor,2,150,300
89,02-02-2023,CUST0016,Male,54,Home Decor,3,50,150
90,17-06-2023,CUST0017,Female,46,Groceries,4,500,2000
91,10-09-2023,CUST0017,Male,52,Electronics,2,250,500
92,31-03-2023,CUST0017,Female,51,Beauty,1,200,200
93,24-04-2023,CUST0018,Male,28,Groceries,4,200,800
94,05-08-2023,CUST0018,Male,53,Clothing,1,50,50
95,11-07-2023,CUST0018,Male,52,Home Decor,2,50,100
96,06-04-2023,CUST0018,Female,40,Groceries,4,50,200
97,06-10-2023,CUST0019,Male,52,Electronics,2,50,100
98,03-03-2023,CUST0019,Female,42,Groceries,3,150,450
99,26-06-2023,CUST0019,Female,29,Groceries,1,150,150
100,17-03-2023,CUST0019,Male,24,Home Decor,2,200,400
101,05-12-2023,CUST0019,Female,33,Groceries,1,150,150
102,25-01-2023,CUST0019,Female,38,Home Decor,1,50,50
103,08-02-2023,CUST0019,Male,59,Clothing,3,500,1500
104,13-05-2023,CUST0020,Male,40,Groceries,3,150,450
105,26-05-2023,CUST0020,Male,29,Electronics,2,100,200
106,10-09-2023,CUST0020,Female,24,Groceries,4,100,400
107,10-10-2023,CUST0020,Female,19,Groceries,1,250,250
108,05-12-2023,CUST0021,Female,18,Home Decor,1,50,50
109,28-10-2023,CUST0021,Female,53,Home Decor,3,150,450
110,30-12-2023,CUST0021,Female,56,Beauty,2,100,200
111,19-01-2023,CUST0021,Male,20,Groceries,1,100,100
112,08-08-2023,CUST0021,Female,37,Home Decor,4,250,1000
113,27-12-2023,CUST0021,Male,18,Beauty,1,200,200
114,09-07-2023,CUST0021,Male,42,Electronics,2,250,500
115,14-05-2023,CUST0021,Female,49,Groceries,1,250,250
116,01-08-2023,CUST0022,Male,54,Home Decor,3,150,450
117,20-01-2023,CUST0022,Male,35,Electronics,1,500,500
118,23-05-2023,CUST0022,Male,18,Groceries,2,500,1000
119,16-09-2023,CUST0022,Female,40,Electronics,3,200,600
120,26-11-2023,CUST0022,Female,33,Home Decor,4,200,800
121,08-01-2023,CUST0022,Female,45,Home Decor,2,100,200
122,12-11-2023,CUST0022,Female,45,Home Decor,1,50,50
123,16-08-2023,CUST0022,Female,44,Electronics,1,50,50
124,31-07-2023,CUST0023,Male,45,Groceries,1,500,500
125,04-02-2023,CUST0023,Male,23,Clothing,3,250,750
126,30-10-2023,CUST0023,Male,19,Clothing,4,500,2000
127,30-08-2023,CUST0023,Male,22,Electronics,2,50,100
128,26-05-2023,CUST0023,Female,28,Groceries,2,50,100
129,08-12-2023,CUST0023,Male,44,Electronics,1,50,50
130,08-04-2023,CUST0023,Male,52,Electronics,1,500,500
131,16-07-2023,CUST0024,Male,22,Beauty,1,250,250
132,22-02-2023,CUST0024,Male,27,Clothing,3,50,150
133,26-03-2023,CUST0024,Female,26,Electronics,3,250,750
134,24-07-2023,CUST0024,Female,18,Electronics,4,100,400
135,14-12-2023,CUST0024,Male,25,Clothing,2,100,200
136,28-04-2023,CUST0024,Male,29,Electronics,2,200,400
137,10-08-2023,CUST0025,Male,34,Groceries,1,500,500
138,07-03-2023,CUST0025,Male,56,Home Decor,2,500,1000
139,02-11-2023,CUST0025,Female,35,Beauty,3,100,300
140,04-11-2023,CUST0025,Male,55,Electronics,4,200,800
141,30-01-2023,CUST0025,Male,59,Beauty,1,250,250
142,12-10-2023,CUST0025,Female,27,Electronics,2,50,100
143,06-12-2023,CUST0025,Female,22,Clothing,2,250,500
144,24-07-2023,CUST0026,Female,28,Beauty,3,50,150
145,31-05-2023,CUST0026,Male,33,Beauty,2,200,400
146,26-12-2023,CUST0026,Female,42,Beauty,4,150,600
147,04-06-2023,CUST0026,Male,49,Clothing,1,100,100
148,04-10-2023,CUST0027,Male,35,Home Decor,2,250,500
149,22-01-2023,CUST0027,Male,23,Electronics,1,50,50
150,12-01-2023,CUST0027,Female,51,Electronics,2,100,200
151,28-10-2023,CUST0027,Male,26,Clothing,1,50,50
152,02-08-2023,CUST0027,Male,47,Beauty,3,250,750
153,26-01-2023,CUST0028,Female,18,Electronics,3,250,750
154,29-06-2023,CUST0028,Male,39,Clothing,4,500,2000
155,04-08-2023,CUST0028,Female,43,Beauty,4,150,600
156,21-04-2023,CUST0029,Male,35,Clothing,2,150,300
157,15-01-2023,CUST0029,Female,42,Groceries,4,100,400
158,08-02-2023,CUST0029,Male,34,Clothing,2,200,400
159,25-01-2023,CUST0029,Male,30,Home Decor,1,200,200
160,08-03-2023,CUST0029,Male,35,Home Decor,3,500,1500
161,21-04-2023,CUST0030,Female,57,Electronics,4,150,600
162,11-02-2023,CUST0030,Male,54,Home Decor,2,100,200
163,11-11-2023,CUST0030,Male,23,Groceries,1,50,50
164,30-05-2023,CUST0030,Male,23,Home Decor,2,150,300
165,14-11-2023,CUST0031,Female,48,Electronics,3,150,450
166,31-08-2023,CUST0031,Male,57,Groceries,4,500,2000
167,18-11-2023,CUST0031,Female,45,Beauty,4,500,2000
168,28-04-2023,CUST0031,Male,47,Beauty,2,50,100
169,13-07-2023,CUST0031,Male,28,Clothing,3,250,750
170,27-10-2023,CUST0031,Male,23,Clothing,2,200,400
171,02-10-2023,CUST0031,Female,50,Home Decor,1,200,200
172,16-02-2023,CUST0031,Male,43,Groceries,2,150,300
173,29-11-2023,CUST0032,Male,20,Electronics,2,100,200
174,10-01-2023,CUST0032,Male,40,Clothing,4,100,400
175,13-01-2023,CUST0032,Female,19,Home Decor,1,250,250
176,25-11-2023,CUST0032,Male,26,Beauty,3,500,1500
177,04-04-2023,CUST0032,Male,22,Home Decor,4,100,400
178,30-11-2023,CUST0032,Male,28,Electronics,2,200,400
179,04-02-2023,CUST0033,Male,57,Home Decor,4,250,1000
180,24-11-2023,CUST0033,Male,58,Groceries,2,200,400
181,13-10-2023,CUST0033,Male,38,Groceries,1,150,150
182,19-03-2023,CUST0033,Female,21,Electronics,1,100,100
183,30-03-2023,CUST0033,Female,57,Beauty,1,500,500
184,23-01-2023,CUST0034,Male,32,Electronics,1,50,50
185,13-08-2023,CUST0034,Male,19,Groceries,4,150,600
186,08-02-2023,CUST0034,Male,23,Beauty,3,150,450
187,15-01-2023,CUST0035,Male,46,Electronics,4,500,2000
188,19-08-2023,CUST0035,Male,53,Groceries,2,50,100
189,07-04-2023,CUST0035,Male,54,Beauty,3,50,150
190,11-09-2023,CUST0035,Female,39,Clothing,2,250,500
191,26-11-2023,CUST0036,Male,55,Groceries,3,200,600
192,31-12-2023,CUST0036,Female,32,Groceries,4,250,1000
193,06-06-2023,CUST0036,Male,21,Home Decor,1,100,100
194,05-04-2023,CUST0036,Male,53,Home Decor,2,150,300
195,10-10-2023,CUST0036,Male,37,Beauty,2,100,200
196,14-05-2023,CUST0037,Female,40,Clothing,2,150,300
197,06-08-2023,CUST0037,Male,57,Clothing,1,50,50
198,21-04-2023,CUST0037,Female,29,Home Decor,4,200,800
199,13-05-2023,CUST0037,Female,54,Clothing,1,200,200
200,14-10-2023,CUST0037,Female,26,Beauty,1,500,500
201,23-10-2023,CUST0037,Male,39,Beauty,3,50,150
202,29-10-2023,CUST0037,Male,38,Clothing,2,200,400
203,01-07-2023,CUST0037,Male,18,Beauty,4,250,1000
204,05-11-2023,CUST0038,Male,27,Home Decor,1,250,250
205,03-06-2023,CUST0038,Male,52,Home Decor,1,100,100
206,16-03-2023,CUST0038,Female,19,Clothing,3,100,300
207,17-01-2023,CUST0039,Female,41,Electronics,3,200,600
208,17-07-2023,CUST0039,Male,41,Electronics,1,250,250
209,04-03-2023,CUST0039,Male,39,Clothing,4,100,400
210,18-02-2023,CUST0039,Male,34,Home Decor,1,50,50
211,28-05-2023,CUST0039,Female,39,Home Decor,3,250,750
212,23-11-2023,CUST0040,Male,49,Groceries,2,150,300
213,30-07-2023,CUST0040,Female,49,Groceries,1,250,250
214,13-10-2023,CUST0040,Female,57,Beauty,2,50,100
215,24-06-2023,CUST0041,Female,19,Home Decor,1,100,100
216,10-08-2023,CUST0041,Female,21,Electronics,4,250,1000
217,24-02-2023,CUST0041,Male,20,Clothing,2,150,300
218,11-06-2023,CUST0041,Female,50,Home Decor,4,100,400
219,15-12-2023,CUST0041,Female,18,Electronics,3,150,450
220,12-09-2023,CUST0041,Male,25,Electronics,3,250,750
221,08-03-2023,CUST0041,Male,50,Home Decor,3,100,300
222,18-10-2023,CUST0041,Female,41,Beauty,4,200,800
223,14-06-2023,CUST0042,Female,38,Clothing,3,100,300
224,20-09-2023,CUST0042,Male,40,Groceries,3,250,750
225,05-02-2023,CUST0042,Male,35,Clothing,1,250,250
226,11-01-2023,CUST0042,Female,19,Beauty,3,200,600
227,20-01-2023,CUST0042,Male,54,Electronics,2,250,500
228,21-12-2023,CUST0042,Female,39,Home Decor,4,50,200
229,07-06-2023,CUST0043,Female,40,Electronics,2,150,300
230,28-07-2023,CUST0043,Female,26,Clothing,1,50,50
231,25-12-2023,CUST0043,Male,39,Beauty,2,200,400
232,03-06-2023,CUST0043,Female,46,Groceries,2,250,500
233,22-11-2023,CUST0044,Female,38,Clothing,4,50,200
234,03-02-2023,CUST0044,Male,54,Electronics,2,100,200
235,17-03-2023,CUST0044,Male,59,Groceries,3,50,150
236,14-10-2023,CUST0044,Female,44,Clothing,4,250,1000
237,05-11-2023,CUST0044,Male,27,Groceries,1,100,100
238,09-07-2023,CUST0045,Female,19,Home Decor,2,150,300
239,12-07-2023,CUST0045,Male,53,Beauty,2,250,500
240,29-05-2023,CUST0045,Male,57,Beauty,4,200,800
241,23-04-2023,CUST0045,Male,56,Beauty,2,100,200
242,24-02-2023,CUST0045,Male,41,Groceries,4,50,200
243,07-09-2023,CUST0045,Female,37,Beauty,3,200,600
244,03-12-2023,CUST0045,Female,51,Electronics,2,100,200
245,14-03-2023,CUST0046,Male,57,Electronics,1,50,50
246,02-03-2023,CUST0046,Male,57,Clothing,1,150,150
247,11-05-2023,CUST0046,Female,54,Home Decor,4,150,600
248,12-04-2023,CUST0046,Female,29,Beauty,1,200,200
249,01-11-2023,CUST0046,Male,34,Clothing,1,50,50
250,30-10-2023,CUST0046,Female,33,Beauty,4,250,1000
251,22-03-2023,CUST0046,Male,54,Electronics,2,50,100
252,23-05-2023,CUST0047,Male,43,Electronics,1,100,100
253,16-02-2023,CUST0047,Female,27,Electronics,3,100,300
254,27-03-2023,CUST0047,Female,24,Groceries,3,50,150
255,25-06-2023,CUST0047,Female,40,Groceries,2,500,1000
256,13-04-2023,CUST0047,Male,31,Beauty,4,200,800
257,28-10-2023,CUST0047,Female,20,Groceries,3,100,300
258,08-02-2023,CUST0048,Male,21,Groceries,2,50,100
259,29-07-2023,CUST0048,Male,33,Groceries,2,200,400
260,07-11-2023,CUST0048,Male,59,Clothing,2,150,300
261,04-09-2023,CUST0048,Male,30,Clothing,4,150,600
262,08-02-2023,CUST0048,Female,46,Electronics,1,500,500
263,02-09-2023,CUST0048,Female,33,Home Decor,3,50,150
264,25-12-2023,CUST0049,Female,22,Electronics,2,50,100
265,03-01-2023,CUST0049,Male,31,Clothing,4,100,400
266,20-10-2023,CUST0049,Male,18,Groceries,2,50,100
267,01-11-2023,CUST0049,Male,41,Home Decor,4,150,600
268,20-10-2023,CUST0050,Male,54,Beauty,4,500,2000
269,22-10-2023,CUST0050,Female,41,Beauty,2,250,500
270,14-08-2023,CUST0050,Male,24,Home Decor,4,150,600
271,13-03-2023,CUST0050,Female,46,Groceries,3,250,750
272,26-11-2023,CUST0051,Male,51,Electronics,2,50,100
273,29-08-2023,CUST0051,Female,20,Groceries,1,500,500
274,16-02-2023,CUST0051,Male,26,Beauty,4,100,400
275,29-08-2023,CUST0051,Male,59,Beauty,2,100,200
276,03-03-2023,CUST0051,Male,41,Beauty,4,150,600
277,26-09-2023,CUST0051,Female,42,Electronics,4,500,2000
278,23-12-2023,CUST0051,Female,28,Electronics,4,150,600
279,03-05-2023,CUST0051,Female,46,Electronics,3,50,150
280,28-11-2023,CUST0052,Female,26,Electronics,1,150,150
281,14-08-2023,CUST0052,Female,32,Beauty,1,100,100
282,06-02-2023,CUST0052,Female,30,Home Decor,1,250,250
283,22-03-2023,CUST0052,Female,57,Groceries,4,500,2000
284,25-04-2023,CUST0053,Female,20,Clothing,4,150,600
285,25-08-2023,CUST0053,Male,23,Beauty,4,200,800
286,19-12-2023,CUST0053,Male,58,Groceries,3,250,750
287,11-12-2023,CUST0053,Male,59,Home Decor,3,150,450
288,07-07-2023,CUST0053,Male,22,Beauty,1,100,100
289,06-09-2023,CUST0053,Male,48,Clothing,2,150,300
290,07-06-2023,CUST0053,Male,48,Clothing,4,100,400
291,18-03-2023,CUST0054,Male,29,Clothing,4,250,1000
292,15-02-2023,CUST0054,Male,58,Electronics,4,100,400
293,07-07-2023,CUST0054,Female,41,Groceries,3,500,1500
294,15-03-2023,CUST0054,Male,49,Clothing,3,200,600
295,01-03-2023,CUST0054,Male,47,Groceries,1,500,500
296,15-07-2023,CUST0054,Female,49,Home Decor,2,200,400
297,07-08-2023,CUST0054,Female,34,Home Decor,2,50,100
298,12-07-2023,CUST0054,Female,43,Beauty,2,100,200
299,11-07-2023,CUST0055,Male,46,Home Decor,4,150,600
300,15-08-2023,CUST0055,Female,29,Groceries,3,50,150
301,14-05-2023,CUST0055,Male,32,Beauty,3,100,300
302,26-01-2023,CUST0055,Female,51,Groceries,4,50,200
303,09-04-2023,CUST0055,Male,58,Groceries,1,150,150
304,15-10-2023,CUST0055,Female,31,Home Decor,2,150,300
305,27-01-2023,CUST0055,Male,34,Home Decor,4,200,800
306,21-01-2023,CUST0055,Male,33,Groceries,3,200,600
307,27-05-2023,CUST0056,Male,22,Beauty,3,50,150
308,27-02-2023,CUST0056,Female,55,Clothing,1,150,150
309,16-11-2023,CUST0056,Male,42,Home Decor,2,200,400
310,27-07-2023,CUST0056,Male,25,Home Decor,2,50,100
311,25-05-2023,CUST0056,Male,25,Beauty,2,100,200
312,18-07-2023,CUST0056,Male,46,Home Decor,1,200,200
313,15-02-2023,CUST0056,Male,42,Electronics,2,200,400
314,06-12-2023,CUST0056,Female,26,Electronics,4,500,2000
315,27-04-2023,CUST0057,Female,41,Beauty,4,250,1000
316,28-07-2023,CUST0057,Female,38,Clothing,2,100,200
317,05-04-2023,CUST0057,Female,49,Beauty,1,50,50
318,16-10-2023,CUST0057,Female,55,Electronics,4,150,600
319,02-08-2023,CUST0057,Male,41,Electronics,1,200,200
320,15-02-2023,CUST0057,Female,32,Home Decor,4,50,200
321,21-07-2023,CUST0057,Female,49,Clothing,4,50,200
322,02-01-2023,CUST0057,Male,50,Electronics,1,500,500
323,18-03-2023,CUST0058,Female,43,Clothing,2,100,200
324,23-06-2023,CUST0058,Female,32,Clothing,2,200,400
325,01-11-2023,CUST0058,Female,28,Groceries,3,150,450
326,09-01-2023,CUST0059,Female,26,Electronics,2,200,400
327,21-09-2023,CUST0059,Female,45,Home Decor,2,150,300
328,07-01-2023,CUST0059,Male,37,Home Decor,2,100,200
329,22-01-2023,CUST0059,Female,20,Electronics,4,100,400
330,14-01-2023,CUST0059,Male,35,Home Decor,3,200,600
331,25-01-2023,CUST0059,Male,36,Home Decor,1,250,250
332,29-04-2023,CUST0059,Male,49,Beauty,4,100,400
333,30-07-2023,CUST0059,Female,54,Electronics,3,150,450
334,21-07-2023,CUST0060,Male,52,Groceries,1,500,500
335,26-07-2023,CUST0060,Male,24,Home Decor,1,500,500
336,01-08-2023,CUST0060,Male,41,Home Decor,1,200,200
337,08-08-2023,CUST0060,Female,37,Home Decor,4,100,400
338,26-06-2023,CUST0060,Male,49,Electronics,4,100,400
339,27-04-2023,CUST0060,Female,53,Clothing,3,100,300
340,19-09-2023,CUST0061,Male,59,Beauty,3,100,300
341,03-09-2023,CUST0061,Male,29,Beauty,1,100,100
342,09-02-2023,CUST0061,Male,32,Electronics,3,100,300
343,08-01-2023,CUST0061,Female,47,Clothing,4,500,2000
344,30-11-2023,CUST0061,Female,54,Groceries,2,250,500
345,10-02-2023,CUST0061,Female,31,Electronics,4,100,400
346,25-05-2023,CUST0062,Male,42,Electronics,4,100,400
347,12-06-2023,CUST0062,Male,22,Electronics,4,200,800
348,13-06-2023,CUST0062,Male,40,Beauty,2,150,300
349,28-04-2023,CUST0062,Female,33,Clothing,1,100,100
350,28-11-2023,CUST0062,Female,58,Electronics,1,200,200
351,21-09-2023,CUST0062,Male,29,Electronics,1,500,500
352,11-10-2023,CUST0062,Male,54,Groceries,4,250,1000
353,01-11-2023,CUST0062,Male,45,Home Decor,3,250,750
354,30-11-2023,CUST0063,Female,26,Groceries,4,100,400
355,12-10-2023,CUST0063,Male,52,Groceries,1,150,150
356,21-11-2023,CUST0063,Male,31,Home Decor,2,200,400
357,30-06-2023,CUST0063,Female,41,Beauty,3,500,1500
358,05-08-2023,CUST0063,Female,46,Electronics,3,150,450
359,27-06-2023,CUST0063,Male,55,Home Decor,3,500,1500
360,04-11-2023,CUST0064,Female,59,Home Decor,3,100,300
361,07-12-2023,CUST0064,Male,25,Groceries,4,500,2000
362,05-01-2023,CUST0064,Male,39,Clothing,1,100,100
363,24-04-2023,CUST0064,Female,34,Clothing,4,50,200
364,17-03-2023,CUST0064,Male,25,Electronics,2,200,400
365,16-10-2023,CUST0064,Male,36,Groceries,4,250,1000
366,27-12-2023,CUST0064,Female,45,Clothing,2,500,1000
367,10-06-2023,CUST0065,Male,42,Groceries,1,250,250
368,18-03-2023,CUST0065,Male,58,Beauty,4,100,400
369,12-04-2023,CUST0065,Female,21,Beauty,2,100,200
370,06-10-2023,CUST0066,Male,28,Electronics,4,500,2000
371,06-11-2023,CUST0066,Male,42,Groceries,3,50,150
372,17-03-2023,CUST0066,Female,24,Groceries,3,200,600
373,03-04-2023,CUST0066,Male,50,Electronics,4,50,200
374,12-04-2023,CUST0067,Female,28,Beauty,4,500,2000
375,26-11-2023,CUST0067,Female,26,Beauty,1,100,100
